,question,answer_text,distractor
30578,which statement wrong accord passag,local peopl worri lose profit tea,coffe store spread small town india some foreign coffe compani tri open indian coffe market indian drink eight time tea coffe
30579,the follow advic given articl except,To studi possibl time place,To put pen paper book besid studi To pay attent import thing
30580,which follow one observ opinion,the econom situat discourag youth attend colleg,the student expect much satisfi hard colleg life colleg improv much campu unhappi colleg provid chanc good job anywher els
30581,If want write articl simpl english wikipedia,use easi word shorter sentenc describ valuabl inform,learn write page famou univers first use advanc english grammar profession term write articl children
30582,It known passag bruce hoffman,terror expert usa,athlet compet sochi terror expert rand corpor
30583,At last doctor,kept john talli hospit,kept john hospit let talli leav kept neither john talli hospit kept talli hospit john die
30584,which follow ca n infer text,billi roger began play tenni colleg,billi roger like children much billi roger play tenni prefix st america billi roger import guest parti
30585,what infer text,green live new trend american colleg,A long term develop call student effort student idea encourag colleg student learn protect environ practic
30586,queen victoria said first woman britain,wear white wed dress,wear veil bride wear casual dress recept
30587,what know research SM,SM never felt fear disgust,It easi avoid danger SM frighten noth except monster SM got along well snake
30588,the writer conclud williamson histori lesson welcom,care enough put heart teach,rich knowledg american histori student interest american histori
30589,the english like,eat cake cooki tea,drink tea plain tea dinner drink tea special room
30590,It infer passag silver thimbl,preciou author,birthday gift grandma given author
30591,mani children go school mainli,secur problem poverti,parent distrust school
30592,what think mother propos christma gift,they agre give money armi littl help,they agre propos christma gift they agre give money armi much help they agre save money buy gift father
30593,from passag know,great art share peopl,possibl treasur stolen old fort alway make best museum king franci I franc brought artist old fort
30594,employe retrain board plan,teach new skill older peopl,find job older peopl train older peopl courier give older peopl someth spare time
30595,accord passag jane goodal,spent year africa studi chimpanze,wrote new book learn chimpanze find hopeless protect wild anim
30596,what restaur beij support campaign,It encourag custom take leftov home,It gave sticker guest order small dish the owner would dinner eaten food It offer free meal guest finish food ten time
30597,what know mountain sick,It mainli influenc one breath,It treat plant It discov humboldt friend
30598,what author think holiday,they less enjoy break plan advanc,He feel embarrass peopl fun n
30599,after tomato fight town govern,clean street fire truck,provid water peopl take peopl bunol river hold activ tomato
30600,the mom glad n give answer first,want avoid anoth blow son self respect,knew son would forget rank soon
30601,It infer passag major interest offici glaciern parki,limit land develop around park,establish new park montana
30602,indian eleph get increasingli angri reveng,attack land get limit,caught sent heavi work illeg hunter captur kill dog often bark chase
30603,which right,We need healthi,everyon healthi food n import
30604,the school look like,big modern beauti,big modern beauti small modern beauti big modern beauti long histori
30605,which follow activ not creativ one accord passag,To buy book bookstor,To arrang furnitur special way To arrang furnitur special way
30606,the children summer camp may follow except,know surviv wild,take part art craft activ
